geoname_fips,count
NULL,2351491
00000,160842
01001,14
01003,174
01005,60
01007,1
01009,44
01011,2
01013,30
01015,176
01017,69
01019,3
01021,2
01023,12
01025,4
01027,1
01029,1
01031,248
01033,10
01037,1
01039,7
01041,7
01043,121
01045,17
01047,33
01049,108
01051,275
01053,63
01055,11
01057,2
01059,5
01061,2
01063,2
01065,1
01067,2
01069,1232
01071,2
01073,7093
01075,2
01077,20
01079,1
01081,980
01083,19
01085,1
01087,7
01089,3938
01091,4
01093,7
01095,376
01097,2173
01099,4
01101,1831
01103,264
01105,7
01107,3
01109,95
01111,2
01113,121
01115,37
01117,714
01119,4
01121,26
01123,177
01125,1041
01127,67
01129,11
01131,7
01133,4
02013,1
02016,6
02020,4079
02050,8
02090,920
02105,27
02110,161
02122,176
02130,71
02150,18
02164,86
02170,525
02180,262
02185,18
02188,16
02195,234
02220,351
02261,33
02282,34
02290,64
04001,129
04003,908
04005,631
04007,37
04009,93
04012,31
04013,32505
04015,593
04017,120
04019,4336
04021,100
04023,34
04025,536
04027,398
05001,4
05003,1
05005,128
05007,40
05009,128
05011,1
05013,32
05015,2
05019,117
05021,26
05023,2
05027,9
05029,1
05031,368
05033,3
05035,3
05037,12
05043,17
05045,709
05047,10
05049,7
05051,445
05055,10
05057,3
05059,13
05063,20
05065,1
05069,229
05071,2
05073,1
05077,16
05079,4
05083,2
05085,138
05087,3
05089,9
05091,7
05093,8
05095,2
05097,2
05099,1
05103,9
05107,18
05109,102
05111,1
05113,7
05115,185
05119,5483
05121,2
05123,14
05125,6
05127,3
05131,366
05135,1
05137,23
05139,51
05143,2883
05145,123
05147,1
05149,2
06001,24418
06003,2
06005,39
06007,888
06009,126
06011,22
06013,8797
06015,57
06017,1659
06019,4353
06021,1
06023,316
06025,4645
06027,10
06029,1619
06031,265
06033,8
06035,5
06037,71169
06039,301
06041,2154
06043,9
06045,585
06047,480
06051,62
06053,1615
06055,989
06057,91
06059,44947
06061,2014
06063,2
06065,6406
06067,11079
06069,70
06071,5460
06073,24667
06075,50336
06077,3129
06079,2052
06081,4485
06083,4021
06085,42019
06087,2957
06089,635
06091,8
06093,115
06095,1597
06097,2984
06099,3657
06101,458
06103,5
06105,10
06107,582
06109,55
06111,1291
06113,1567
06115,14
08001,1365
08003,155
08005,6695
08007,20
08009,1
08011,92
08013,4021
08014,88
08015,19
08023,1
08025,2
08027,3
08029,58
08031,9009
08033,2
08035,7153
08037,52
08039,1
08041,4483
08043,36
08045,208
08047,6
08049,95
08051,77
08055,22
08059,3479
08063,2
08065,9
08067,207
08069,1526
08071,56
08073,6
08075,60
08077,317
08081,15
08083,16
08085,31
08087,19
08089,115
08091,16
08095,12
08097,267
08099,6
08101,648
08103,2
08105,1
08107,79
08109,1
08113,20
08117,212
08119,27
08121,1
08123,1030
08125,13
09001,6547
09003,10707
09005,1236
09007,453
09009,15560
09011,506
09013,958
09015,701
10001,405
10003,1863
10005,176
11001,106593
12001,6766
12005,693
12007,2
12009,1471
12011,10754
12013,140
12015,29
12017,328
12019,185
12021,290
12023,88
12027,1
12031,8629
12033,3644
12035,481
12037,1
12039,42
12041,3
12043,1
12045,38
12049,2
12053,551
12055,73
12057,5852
12059,2
12061,292
12063,43
12065,1
12067,2
12069,1059
12071,4677
12073,4044
12075,9
12079,1
12081,1145
12083,459
12085,38
12086,26411
12087,90
12089,7
12091,42
12093,55
12095,15141
12097,925
12099,4416
12101,1677
12103,5502
12105,6305
12107,155
12109,143
12111,194
12113,446
12115,1422
12117,1564
12119,225
12121,810
12123,119
12125,1
12127,4691
12129,1
12131,111
12133,4
13001,1
13005,51
13009,397
13013,430
13015,33
13017,909
13019,1
13021,2386
13023,4
13025,65
13027,14
13029,110
13031,534
13033,1
13035,2
13037,3
13039,25
13043,72
13045,264
13047,105
13051,2545
13055,192
13057,338
13059,1579
13063,1216
13067,8102
13069,131
13071,6
13073,34
13075,2
13077,465
13081,3
13083,14
13085,1
13087,14
13089,8695
13091,1
13095,531
13097,20
13099,28
13103,256
13105,23
13107,10
13111,25
13113,8
13115,294
13117,73
13119,2
13121,71520
13123,205
13127,22
13129,73
13133,5
13135,3706
13137,177
13139,374
13143,2
13145,1
13147,161
13151,394
13153,20
13157,998
13159,1
13163,4
13169,1
13171,16
13175,146
13177,1
13179,1
13185,158
13187,256
13191,42
13195,2
13197,1
13199,3
13201,2
13207,3
13209,4
13215,566
13217,8
13219,4
13223,1
13225,24
13227,74
13231,1
13233,18
13235,68
13237,1
13243,1
13245,1687
13247,49
13249,1
13251,123
13253,1
13255,66
13257,2
13259,2
13261,48
13269,37
13271,1
13273,1
13275,537
13277,50
13279,1
13281,1
13285,261
13287,1
13291,1
13293,113
13295,124
13297,61
13299,53
13303,16
13305,1
13309,5
13311,260
13313,1000
13317,2
15001,1298
15003,9839
15007,628
15009,816
16001,3317
16005,134
16009,38
