geoname_fips,count
NULL,2501407
00000,113712
01001,3
01003,77
01005,15
01007,1
01009,52
01011,4
01013,18
01015,190
01017,65
01019,15
01021,2
01023,11
01025,2
01031,103
01033,6
01035,1
01037,1
01039,6
01041,7
01043,62
01045,14
01047,21
01049,77
01051,188
01053,81
01055,6
01057,2
01059,3
01061,1
01063,1
01065,2
01069,1814
01071,2
01073,5222
01075,1
01077,25
01079,1
01081,1027
01083,3
01085,6
01087,5
01089,3552
01091,7
01093,3
01095,274
01097,1378
01099,17
01101,1604
01103,199
01105,3
01107,2
01109,75
01111,3
01113,81
01115,57
01117,514
01119,3
01121,10
01123,148
01125,872
01127,53
01129,16
01131,1
01133,2
02013,1
02016,7
02020,3060
02050,2
02068,1
02090,568
02105,22
02110,51
02122,84
02130,30
02150,19
02164,76
02170,429
02180,177
02185,7
02188,6
02195,121
02220,160
02240,2
02261,33
02282,142
02290,5
04001,147
04003,640
04005,552
04007,75
04009,58
04012,19
04013,27966
04015,606
04017,179
04019,4183
04021,214
04023,19
04025,421
04027,386
05001,9
05003,2
05005,73
05007,36
05009,65
05013,44
05015,4
05017,3
05019,62
05021,12
05025,2
05027,9
05031,328
05033,14
05035,4
05037,6
05041,3
05043,3
05045,486
05047,2
05049,5
05051,311
05055,4
05059,8
05061,1
05063,11
05069,141
05073,8
05075,1
05077,10
05079,6
05085,127
05087,5
05089,28
05091,9
05093,2
05099,3
05103,18
05105,2
05107,23
05109,99
05111,2
05115,134
05119,5293
05121,1
05123,17
05125,5
05131,386
05133,2
05135,1
05137,14
05139,21
05143,1899
05145,87
06001,18796
06003,1
06005,33
06007,668
06009,139
06011,37
06013,7436
06015,46
06017,1184
06019,4159
06021,2
06023,182
06025,3900
06027,19
06029,1641
06031,309
06033,25
06035,19
06037,63727
06039,249
06041,1975
06043,7
06045,402
06047,450
06049,2
06051,46
06053,1502
06055,695
06057,70
06059,35224
06061,2072
06063,4
06065,5798
06067,10446
06069,7
06071,4804
06073,19562
06075,35564
06077,2174
06079,1527
06081,4499
06083,3023
06085,32892
06087,2203
06089,641
06091,12
06093,61
06095,1265
06097,2670
06099,2774
06101,384
06103,8
06105,7
06107,541
06109,36
06111,1411
06113,1318
06115,20
08001,1074
08003,93
08005,4514
08007,2
08011,38
08013,3476
08014,55
08015,17
08017,5
08023,1
08027,1
08029,34
08031,6539
08033,2
08035,7261
08037,19
08039,2
08041,3710
08043,79
08045,58
08047,4
08049,58
08051,96
08053,3
08055,3
08059,3016
08063,1
08065,17
08067,157
08069,1405
08071,34
08073,7
08075,38
08077,286
08079,1
08081,20
08083,23
08085,110
08087,15
08089,138
08091,15
08093,2
08095,15
08097,225
08099,2
08101,488
08103,1
08107,54
08109,2
08111,1
08113,67
08117,182
08119,16
08123,816
08125,6
09001,5323
09003,8029
09005,1027
09007,344
09009,9516
09011,436
09013,841
09015,476
10001,265
10003,1350
10005,342
11001,74645
12001,4549
12003,28
12005,570
12007,1
12009,1793
12011,11934
12013,122
12015,26
12017,312
12019,236
12021,282
12023,58
12027,2
12031,7229
12033,2848
12035,479
12037,6
12039,33
12041,2
12043,1
12045,4
12051,5
12053,651
12055,49
12057,4862
12061,162
12063,11
12069,916
12071,2936
12073,3339
12075,4
12079,2
12081,1094
12083,421
12085,29
12086,18779
12087,171
12089,4
12091,74
12093,55
12095,12580
12097,1295
12099,4104
12101,1277
12103,4257
12105,6440
12107,122
12109,106
12111,219
12113,412
12115,1665
12117,2746
12119,165
12121,646
12123,59
12127,3727
12129,1
12131,47
13001,1
13005,62
13009,280
13013,261
13015,10
13017,1127
13019,1
13021,2154
13023,7
13025,16
13027,13
13029,51
13031,439
13033,2
13039,40
13043,49
13045,224
13047,63
13049,2
13051,2234
13055,145
13057,428
13059,1595
13063,1149
13067,7941
13069,146
13071,3
13073,7
13075,1
13077,456
13081,3
13083,19
13085,1
13087,8
13089,6511
13091,1
13095,549
13097,30
13099,8
13103,115
13105,19
13107,4
13111,19
13113,8
13115,199
13117,69
13119,5
13121,62083
13123,166
13127,16
13129,75
13133,3
13135,3310
13137,111
13139,431
13143,5
13145,2
13147,134
13151,382
13153,18
13157,1400
13159,2
13163,6
13171,14
13175,128
13177,4
13179,15
13185,151
13187,338
13189,1
13191,20
13199,2
13201,2
13205,1
13207,1
13209,2
13211,1
13215,539
13217,3
13219,9
13223,1
13225,18
13227,48
13231,1
13233,10
13235,72
13237,15
13243,1
13245,1513
13247,45
13249,12
13251,74
13255,79
13257,3
13261,45
13269,58
13273,1
13275,273
13277,60
13281,17
13285,366
13293,65
13295,88
13297,51
13299,59
13303,1
13305,1
13309,7
13311,225
13313,611
13317,22
15001,1216
15003,8385
15007,478
15009,1003
16001,3042
16005,145
16009,12
16011,3
16013,7
16015,6
16017,18
16019,368
16021,7
16027,628
16029,31
16031,17
16033,7
16035,2
16037,4
16039,17
16041,22
16049,2
16051,1
16053,2
16055,599
16057,476
16059,1
16061,4
16065,196
16067,53
16069,177
16071,1
16073,14
16075,36
16077,28
16079,9
16083,136
16085,42
16087,24
17001,88
17003,3
17005,12
17007,15
17009,3
17011,4
17015,1
17017,97
17019,2147
17021,32
17023,1
17025,39
17027,2
