geoname_fips,count
NULL,2525469
00000,135460
01001,10
01003,127
01005,30
01007,1
01009,47
01011,1
01013,11
01015,242
01017,84
01019,27
01021,10
01023,10
01025,11
01031,197
01033,8
01035,1
01039,3
01041,10
01043,103
01045,12
01047,38
01049,123
01051,239
01053,86
01055,10
01057,3
01059,3
01061,2
01065,1
01069,1851
01073,6554
01075,1
01077,41
01079,1
01081,1091
01083,11
01085,1
01087,5
01089,3816
01091,9
01093,5
01095,308
01097,1774
01099,6
01101,1862
01103,249
01105,4
01107,1
01109,70
01111,2
01113,114
01115,66
01117,639
01119,5
01121,19
01123,192
01125,878
01127,63
01129,16
01131,4
01133,4
02013,1
02016,3
02020,3735
02050,5
02068,1
02090,866
02105,18
02110,90
02122,127
02130,57
02150,28
02164,76
02170,512
02180,239
02185,6
02188,5
02195,173
02220,267
02261,40
02282,177
02290,2
04001,166
04003,812
04005,616
04007,97
04009,102
04012,36
04013,31956
04015,612
04017,179
04019,4046
04021,148
04023,30
04025,553
04027,480
05001,5
05003,6
05005,120
05007,54
05009,74
05013,43
05015,3
05017,1
05019,73
05021,18
05025,1
05027,13
05029,1
05031,365
05033,8
05035,6
05037,8
05039,1
05043,7
05045,575
05047,2
05049,11
05051,470
05055,9
05057,2
05059,7
05061,1
05063,10
05065,2
05067,2
05069,212
05071,1
05073,11
05075,1
05077,13
05079,7
05085,138
05087,7
05089,11
05091,7
05093,14
05095,1
05097,1
05099,2
05103,23
05107,34
05109,114
05111,4
05113,1
05115,180
05119,5820
05121,1
05123,13
05125,7
05127,3
05131,430
05135,2
05137,16
05139,30
05143,2359
05145,121
06001,21933
06003,1
06005,42
06007,808
06009,124
06011,51
06013,8448
06015,54
06017,1058
06019,4804
06021,4
06023,228
06025,4576
06027,24
06029,1797
06031,349
06033,15
06035,17
06037,71761
06039,312
06041,2170
06043,6
06045,570
06047,556
06049,1
06051,63
06053,1711
06055,858
06057,86
06059,42634
06061,2359
06063,1
06065,6595
06067,11278
06069,8
06071,6331
06073,24128
06075,44394
06077,2559
06079,1665
06081,5043
06083,3458
06085,38892
06087,2624
06089,719
06091,12
06093,102
06095,1428
06097,3034
06099,3561
06101,435
06103,4
06105,7
06107,550
06109,63
06111,1743
06113,1341
06115,22
08001,1266
08003,151
08005,5949
08007,2
08011,80
08013,4005
08014,78
08015,25
08017,4
08021,1
08023,1
08027,1
08029,50
08031,7635
08033,3
08035,7500
08037,18
08039,1
08041,4375
08043,116
08045,107
08047,7
08049,84
08051,117
08053,1
08055,4
08059,3444
08063,2
08065,14
08067,171
08069,1461
08071,57
08073,11
08075,62
08077,334
08081,33
08083,19
08085,23
08087,25
08089,249
08091,15
08093,3
08095,11
08097,214
08099,11
08101,518
08107,81
08109,4
08111,1
08113,78
08117,261
08119,16
08123,983
08125,3
09001,6090
09003,9796
09005,1218
09007,372
09009,11953
09011,486
09013,902
09015,636
10001,314
10003,1546
10005,245
11001,93123
12001,6378
12003,34
12005,637
12007,2
12009,1811
12011,12179
12013,194
12015,33
12017,445
12019,274
12021,277
12023,75
12027,1
12031,8770
12033,3356
12035,573
12037,1
12039,59
12041,2
12043,1
12045,32
12049,4
12051,3
12053,487
12055,35
12057,5087
12061,188
12063,37
12067,1
12069,1187
12071,4193
12073,3811
12075,3
12079,2
12081,1114
12083,427
12085,44
12086,24234
12087,69
12089,5
12091,51
12093,48
12095,15377
12097,1321
12099,5199
12101,1521
12103,4952
12105,7259
12107,124
12109,142
12111,182
12113,351
12115,1695
12117,3078
12119,219
12121,908
12123,62
12127,4349
12129,1
12131,34
12133,1
13005,52
13007,3
13009,493
13013,381
13015,21
13017,1269
13021,2289
13023,11
13025,27
13027,18
13029,23
13031,543
13033,4
13035,1
13039,35
13043,41
13045,306
13047,65
13049,2
13051,2583
13053,1
13055,184
13057,410
13059,1762
13063,1296
13065,1
13067,8779
13069,162
13071,3
13073,12
13075,1
13077,519
13081,2
13083,16
13085,1
13087,22
13089,7471
13091,2
13093,1
13095,526
