geoname_fips,count
NULL,1641578
00000,106055
01001,5
01003,149
01005,31
01007,1
01009,68
01011,1
01013,23
01015,103
01017,58
01019,2
01021,6
01023,26
01025,5
01029,1
01031,340
01033,10
01037,2
01039,23
01041,1
01043,85
01045,8
01047,38
01049,63
01051,134
01053,37
01055,16
01057,5
01059,1
01061,2
01063,2
01067,1
01069,714
01071,1
01073,4437
01075,3
01077,27
01079,1
01081,588
01083,16
01085,5
01087,2
01089,2794
01091,3
01093,9
01095,284
01097,1506
01099,1
01101,1290
01103,249
01105,1
01107,3
01109,36
01113,80
01115,26
01117,390
01119,12
01121,17
01123,99
01125,702
01127,24
01129,4
01131,6
01133,7
02013,1
02016,5
02020,2901
02050,3
02090,707
02105,21
02110,114
02122,118
02130,50
02150,14
02164,80
02170,317
02180,264
02185,19
02188,11
02195,281
02198,1
02220,295
02240,1
02261,30
02282,3
02290,87
04001,50
04003,769
04005,384
04007,21
04009,26
04012,45
04013,19956
04015,330
04017,55
04019,2753
04021,53
04023,22
04025,333
04027,254
05001,3
05003,6
05005,34
05007,32
05009,102
05011,1
05013,33
05015,3
05017,1
05019,73
05021,15
05023,1
05027,6
05029,3
05031,95
05033,5
05035,7
05037,3
05039,4
05041,1
05043,2
05045,424
05047,3
05049,6
05051,280
05055,12
05057,1
05059,1
05061,2
05063,14
05065,1
05069,105
05071,1
05077,22
05079,1
05083,2
05085,105
05087,1
05089,2
05091,11
05093,6
05095,1
05097,1
05103,3
05107,2
05109,53
05111,2
05113,4
05115,66
05117,2
05119,3793
05121,4
05123,5
05125,6
05127,2
05131,211
05135,2
05137,1
05139,3
05143,2033
05145,84
05147,1
06001,20548
06003,1
06005,32
06007,702
06009,69
06011,1
06013,6986
06015,30
06017,2056
06019,2732
06021,4
06023,250
06025,2866
06027,16
06029,973
06031,202
06033,9
06035,12
06037,41935
06039,159
06041,1435
06043,9
06045,361
06047,277
06051,25
06053,928
06055,748
06057,63
06059,29560
06061,1301
06063,2
06065,3640
06067,6591
06069,33
06071,2701
06073,15002
06075,41260
06077,3139
06079,1374
06081,3911
06083,3169
06085,32205
06087,2234
06089,371
06091,11
06093,112
06095,1224
06097,1877
06099,1766
06101,300
06103,4
06105,6
06107,315
06109,29
06111,545
06113,1285
06115,17
08001,971
08003,115
08005,4423
08007,1
08011,32
08013,2888
08014,84
08015,10
08019,1
08021,1
08025,1
08029,27
08031,6376
08033,2
08035,3552
08037,41
08039,1
08041,2103
08043,24
08045,146
08047,3
08049,43
08051,31
08055,3
08059,2071
08063,4
08065,7
08067,153
08069,1173
08071,46
08073,2
08075,34
08077,162
08081,16
08083,12
08085,19
08087,21
08089,63
08091,3
08093,1
08095,5
08097,106
08099,4
08101,363
08103,2
08105,1
08107,53
08109,2
08113,14
08117,119
08119,25
08123,490
08125,6
09001,5072
09003,6578
09005,916
09007,375
09009,11861
09011,373
09013,687
09015,465
10001,309
10003,1419
10005,93
11001,78090
12001,5032
12005,516
12009,1143
12011,5388
12013,74
12015,10
12017,168
12019,123
12021,100
12023,63
12027,2
12031,5147
12033,2605
12035,57
12039,29
12043,1
12045,45
12047,1
12049,1
12053,353
12055,92
12057,4304
12059,2
12061,205
12063,42
12067,6
12069,508
12071,2431
12073,2648
12075,7
12079,1
12081,777
12083,277
12085,27
12086,17154
12087,56
12089,6
12091,24
12093,38
12095,8770
12097,163
12099,2409
12101,961
12103,4126
12105,3171
12107,99
12109,104
12111,93
12113,247
12115,734
12117,687
12119,140
12121,438
12123,88
12125,1
12127,2915
12131,86
12133,2
13001,1
13005,23
13007,1
13009,336
13013,226
13015,19
13017,448
13019,1
13021,1794
13023,6
13025,48
13029,11
13031,289
13033,5
13035,2
13039,27
13043,31
13045,249
13047,69
13051,1319
13053,1
13055,109
13057,175
13059,1506
13063,1032
13067,4569
13069,53
13071,5
13073,10
13075,1
13077,348
13081,3
13083,14
13085,3
13087,4
13089,5713
13091,1
13095,350
13097,15
13099,10
13103,128
13105,13
13107,6
13111,20
13113,14
13115,195
13117,55
13119,3
13121,48639
13123,209
13125,1
13127,22
13129,63
13133,3
13135,2541
13137,138
13139,230
13141,1
13143,1
13147,107
13151,293
13153,20
13157,359
13159,1
13163,4
13167,1
13169,1
13171,11
13175,95
13179,3
13185,130
13187,128
13189,2
13191,34
13199,2
13205,1
13207,1
13209,3
13213,2
13215,489
13217,8
13219,3
13223,2
13225,22
13227,28
13231,2
13233,10
13235,45
13237,1
13239,1
13241,1
13243,1
13245,1259
13247,44
13249,2
13251,196
13255,3
13257,6
13261,35
13269,25
13273,2
13275,268
13277,39
13279,1
13281,4
13285,197
13291,5
13293,40
13295,112
13297,12
13299,32
13303,12
13311,221
13313,678
13317,1
13319,1
15001,861
15003,5171
15007,325
15009,589
16001,2053
16005,96
16009,7
16011,3
16013,13
16015,5
16017,20
16019,268
16021,6
16025,1
16027,360
16029,30
16031,5
16033,4
16037,4
16039,11
16041,22
16047,1
16049,2
16051,1
16055,295
16057,553
16059,1
16061,6
16065,209
16067,15
16069,170
16071,1
16073,3
16075,37
16077,2
16079,34
16083,118
16085,46
16087,25
17001,114
17005,9
17007,28
17011,17
17015,1
17017,185
17019,1870
17021,30
17023,6
17025,50
17027,2
17029,165
17031,91814
17033,2
17035,3
17037,303
17041,55
17043,14981
17045,4
17047,1
17049,8
17055,1
17057,5
17059,72
17063,17
17065,7
17067,3
17073,55
17075,5
17077,359
17081,148
17083,36
17085,2
17087,1
17089,552
17091,15
17093,6
17095,114
17097,1369
17099,81
17101,8
17103,38
17105,58
17107,15
17109,296
17111,541
17113,858
17115,125
17117,77
17119,841
17121,9
17123,7
17125,24
17129,8
17131,39
17133,195
17137,16
17139,14
17141,10
17143,749
17145,28
17149,22
17151,1
17153,28
17157,19
17161,356
17163,670
17165,11
17167,2682
17171,13
17173,4
17177,42
17179,183
17181,4
17183,15
17193,1
17195,4
17197,646
17199,5
17201,301
17203,141
18001,6
18003,259
18005,45
18007,1
18009,2
18011,25
18013,1
18015,13
18017,3
18019,356
18021,2
18023,95
18027,4
18029,12
18031,1
18033,529
18035,955
18037,32
18039,126
18041,1
18043,347
18045,3
18047,2
18049,6
18051,10
18053,145
18055,18
18057,828
18059,176
18061,2
18063,97
18065,9
18067,404
18069,45
18071,12
18073,14
18077,33
18079,4
18081,322
18083,66
18085,191
18089,460
18091,49
18093,6
18095,19
18097,11866
18099,45
18101,3
18103,177
18105,2448
18107,80
18109,21
18113,82
18115,1
18117,6
18121,21
18123,3
18127,637
18129,3
18131,4
18133,206
18139,1
18141,1576
18143,3
18145,5
18147,80
18149,4
18151,2
18153,1
18157,1604
18159,10
18163,1521
18167,587
18169,39
18173,10
18175,14
18177,70
18179,70
18181,5
18183,2
19001,1
19007,1
19009,13
19011,31
19013,364
19015,22
19017,15
19019,9
19021,8
19023,1
19025,35
19027,63
19029,5
19031,35
19033,137
19035,28
19041,69
19043,70
19045,39
19047,13
19049,207
19051,6
19053,40
19055,2
19057,105
19059,1
19061,71
19063,4
19065,4
19067,27
19069,44
19073,8
19075,6
19077,13
19079,12
19081,16
19083,15
19085,17
19087,11
19091,1
19093,1
